image,PSNR_before,PSNR_after,SSIM_before,SSIM_after,delta_PSNR,delta_SSIM
test_010.png,19.717084390677893,15.129452163556357,0.6953757630396332,0.49753431971056994,-4.587632227121537,-0.19784144332906328
test_001.png,20.131199742120298,15.133032756307163,0.7951439827723286,0.5782424141029039,-4.9981669858131355,-0.21690156866942467
test_009.png,21.12349635700262,16.156610027663692,0.8389800688471545,0.66734710164375,-4.9668863293389265,-0.17163296720340449
test_008.png,22.450088641438196,18.16919456604415,0.8822487014858362,0.7469293444024191,-4.280894075394045,-0.13531935708341714
test_002 (1).png,22.91158924909999,16.680817699300537,0.8202311826731268,0.604423876101557,-6.230771549799453,-0.21580730657156977
test_003.png,23.94269332238904,18.522688320166402,0.887058489317511,0.7400048117611154,-5.420005002222638,-0.14705367755639553
test_004.png,20.531610353755447,16.59424294568049,0.8200592769802505,0.691042229463648,-3.937367408074955,-0.12901704751660248
test_005.png,20.205144533359555,15.766332702278046,0.7843610165389653,0.6023628383013222,-4.438811831081509,-0.18199817823764308
test_011.png,23.787031649400582,18.83426364047271,0.835100833489558,0.6882822178331909,-4.9527680089278725,-0.1468186156563671
test_012 (1).png,23.097291598282762,18.769452784587514,0.7415321822418455,0.5952760089618088,-4.327838813695248,-0.1462561732800367
test_002.png,22.91158924909999,16.680817699300537,0.8202311826731268,0.604423876101557,-6.230771549799453,-0.21580730657156977
test_007.png,24.31927559966651,18.725259026425082,0.9076993491561804,0.7568613142525287,-5.594016573241429,-0.15083803490365177
test_006.png,22.72219748643301,17.52493726824897,0.8768610758094444,0.7280926399029257,-5.1972602181840415,-0.14876843590651867
test_012.png,23.097291598282762,18.769452784587514,0.7415321822418455,0.5952760089618088,-4.327838813695248,-0.1462561732800367
